x,y,z
-3.41275e-07,-1.86038e-07,7.17541e-07
1.26141e-07,-8.77303e-07,8.17456e-07
9.69697e-07,-1.04576e-06,5.88028e-07
7.52459e-07,-1.67762e-07,9.12029e-07
1.17497e-06,1.54547e-06,9.94345e-08
9.28289e-07,-1.5508e-06,1.4825e-07
-1.28515e-06,4.87566e-07,3.82616e-07
-1.07747e-06,-7.03668e-07,1.71564e-07
-9.25951e-07,1.19489e-06,8.32985e-07
9.0398e-07,6.47136e-07,9.6993e-07
7.68194e-07,-2.28556e-07,1.51455e-06
-8.04874e-07,-6.30524e-07,6.15726e-07
1.64332e-06,-8.07554e-07,5.56303e-07
-8.74061e-07,-6.98479e-07,1.17748e-06
6.95814e-07,-1.89446e-07,7.64157e-07
-1.55927e-06,1.06105e-06,6.54366e-07
-5.93101e-07,-7.54899e-07,7.42887e-07
-1.73255e-07,1.08465e-07,1.30488e-06
-9.10589e-07,-1.24695e-06,7.0664e-07
9.73785e-07,-1.58709e-06,3.41174e-07
-1.35822e-06,-1.08811e-06,9.75406e-07
-1.05676e-06,-9.94625e-07,6.73144e-08
1.34567e-06,-1.11143e-06,1.52505e-07
9.94699e-07,-8.29827e-07,3.13362e-07
1.02629e-06,-1.01351e-07,3.20696e-07
9.23903e-07,1.91913e-08,1.05374e-06
-4.29374e-07,7.15144e-07,1.08062e-06
7.81233e-07,1.98367e-07,1.52137e-06
-5.15174e-07,-5.72958e-07,9.62736e-07
6.30822e-07,1.90549e-07,6.20152e-07
1.87624e-07,-6.04501e-07,9.07379e-07
8.17282e-07,-1.446e-06,5.95346e-07
1.19438e-06,1.40234e-06,8.85684e-08
-1.90319e-07,-1.155e-06,1.49499e-07
-1.83321e-07,-1.33513e-06,7.78922e-08
-1.06699e-06,1.46205e-06,-3.20716e-08
1.1955e-06,-2.5147e-07,1.68578e-07
-8.21384e-07,4.98174e-07,6.3178e-07
2.65995e-07,8.1811e-07,1.2367e-07
6.19428e-07,-9.00172e-07,1.37489e-06
6.47974e-07,-2.79926e-07,1.21206e-06
1.03411e-06,1.12727e-06,-3.19028e-08
2.24835e-07,-1.27422e-07,1.15702e-06
1.11927e-06,-3.2045e-08,1.3152e-06
-5.63621e-07,-9.2088e-07,2.18405e-07
1.84852e-08,2.22109e-07,1.06247e-06
1.44461e-07,1.35785e-06,1.83997e-07
-5.18463e-07,-1.09984e-06,6.3828e-07
-9.77695e-07,-4.33462e-07,3.19829e-07
-1.04147e-06,-1.53369e-06,6.02299e-07
1.41974e-07,7.94436e-07,1.73261e-06
7.66217e-07,4.69255e-07,1.07286e-06
-1.76045e-07,2.31798e-07,1.12292e-06
7.48589e-08,5.0728e-08,1.34621e-06
-5.17285e-09,5.98497e-10,1.67024e-06
4.77995e-07,1.47522e-06,2.69772e-08
-5.49955e-07,-1.0736e-06,1.04952e-06
-2.98439e-07,-1.01539e-06,1.10352e-06
3.80269e-07,-3.66099e-07,1.0409e-06
3.043e-07,6.23563e-07,1.21943e-06
1.01538e-06,-5.1913e-07,3.48565e-07
-6.75028e-08,4.20611e-07,1.55256e-07
5.85661e-07,4.73705e-07,6.28859e-07
-8.9286e-07,1.21506e-06,2.46408e-07
-6.96646e-07,-6.30801e-07,8.2981e-07
-2.85794e-07,1.55117e-06,5.49612e-07
-2.44606e-07,1.52183e-07,8.76505e-07
1.37947e-06,-2.97439e-07,7.85513e-07
8.57899e-07,1.11198e-06,4.12908e-09
3.03495e-07,-3.6079e-07,1.16436e-07
-1.1194e-06,-1.0866e-06,4.12273e-07
-1.5976e-07,1.20179e-06,7.13757e-07
-6.7866e-07,9.318e-07,1.16889e-06
5.71186e-07,-9.2506e-07,1.46705e-07
-1.38026e-06,-1.35812e-06,1.48197e-07
1.15014e-07,1.31461e-06,1.00015e-07
3.98054e-07,-7.42212e-07,1.14409e-06
6.65326e-07,6.57923e-07,1.31058e-06
-3.92236e-07,-3.92247e-07,4.68929e-08
-1.49894e-06,6.95506e-08,3.7385e-08
8.20953e-08,-3.15219e-07,1.26963e-06
-4.59659e-07,-7.5952e-07,1.08669e-06
-5.26115e-07,8.21214e-07,6.43132e-07
-2.55543e-07,-6.60725e-07,4.07456e-07
2.90869e-07,-9.53225e-08,9.85006e-07
8.43463e-07,-1.06519e-06,-5.83034e-08
5.27875e-07,-1.0694e-06,2.42968e-08
-1.55718e-06,8.58152e-07,1.79781e-07
-9.52713e-07,7.76891e-07,9.74972e-07
8.57878e-07,-8.71484e-07,1.3271e-06
-4.48481e-07,5.58262e-07,8.85518e-07
-7.78244e-08,-1.35351e-06,1.01102e-07
-7.60988e-07,9.04127e-07,3.66027e-07
-3.16005e-07,-8.79894e-07,7.49718e-08
-1.01685e-06,-1.21723e-06,-1.3333e-08
-8.42201e-07,9.28492e-07,4.82142e-07
6.58585e-07,-8.19858e-07,1.27705e-06
9.07727e-07,4.70735e-07,3.96792e-07
2.1563e-07,-9.23094e-07,1.28899e-06
-1.5248e-06,-2.54242e-07,7.08005e-07
7.57244e-07,-1.02065e-06,1.43592e-06
-1.11155e-06,-3.80548e-07,1.83825e-07
-6.40691e-07,1.23643e-06,7.60229e-07
1.26618e-06,-4.94876e-07,3.54778e-07
8.61983e-07,-9.65614e-07,4.44589e-07
-1.14582e-06,5.47303e-07,6.81432e-07
1.15019e-06,-4.33322e-07,5.7012e-07
-6.29838e-07,-2.79338e-07,1.12745e-06
-7.78725e-07,-7.8564e-07,1.00351e-06
-3.27448e-07,-7.72297e-07,3.20178e-07
-1.05271e-07,-1.09811e-06,3.34699e-07
1.09967e-07,-4.58463e-07,1.17713e-06
9.3032e-07,1.14614e-06,1.27598e-08
1.06246e-07,-2.90813e-07,1.08497e-06
6.54981e-07,7.30665e-07,1.17254e-06
2.25496e-07,-3.03724e-07,1.78959e-06
-5.86802e-07,6.74248e-07,1.46931e-06
7.53993e-07,-4.12503e-07,6.8853e-07
5.14468e-07,-3.74154e-07,1.13648e-06
5.12314e-07,-9.79995e-07,5.18873e-07
7.91121e-07,3.10776e-07,7.82353e-07
-4.73473e-09,-7.28414e-08,9.86065e-07
-4.5045e-07,2.81538e-08,1.41551e-06
-4.53428e-07,6.82067e-07,1.2127e-06
-7.73882e-07,-5.40389e-07,1.5389e-06
3.18308e-07,3.11899e-07,1.08961e-06
-9.76101e-07,-5.92112e-09,1.16755e-07
-1.54519e-07,-7.37803e-07,1.3622e-06
1.34112e-06,-8.80445e-07,6.27723e-07
-1.02093e-06,-1.40664e-06,3.12082e-07
-1.02184e-06,-5.05089e-07,3.0851e-09
8.28113e-07,-1.84058e-07,4.49666e-07
-1.63377e-06,-9.62576e-07,9.11522e-08
-3.69446e-07,-6.83785e-07,1.80064e-06
-8.82851e-08,1.70179e-06,2.86147e-07
9.13061e-07,6.01366e-07,6.85008e-07
3.27974e-08,-1.46365e-07,9.55223e-07
-4.96119e-07,-1.19848e-07,1.39684e-06
8.68336e-08,-8.61476e-07,7.43065e-07
9.07948e-07,6.25422e-07,1.79275e-08
1.94704e-07,7.87153e-07,6.30224e-07
5.22686e-07,4.32683e-07,9.68313e-07
-7.43214e-07,5.52362e-07,8.31061e-07
1.08287e-06,-8.35952e-07,5.12344e-07
-1.51149e-06,-6.29191e-07,1.81291e-07
1.94324e-07,-1.09946e-06,2.23592e-07
3.29448e-07,1.18864e-06,4.46329e-07
-7.65405e-08,-2.72914e-07,1.05552e-06
-5.58894e-09,-8.14728e-07,8.93285e-07
7.42945e-07,7.93951e-07,1.57208e-06
8.18569e-07,-9.03904e-07,3.28619e-07
-2.1239e-07,-3.87695e-07,1.1989e-06
-5.85855e-07,-7.32875e-07,1.51378e-06
-2.90058e-08,-2.15704e-07,1.46961e-07
7.67238e-07,9.04815e-07,5.82615e-07
-6.20965e-07,5.57832e-07,-3.97021e-08
7.67876e-07,-7.54947e-07,1.33065e-06
1.18743e-07,-2.93697e-07,-2.39115e-09
5.10291e-07,-9.68275e-07,3.11177e-07
-2.90019e-07,-1.9154e-07,1.38789e-06
-2.24549e-08,1.09424e-07,1.01506e-06
-1.27567e-06,-1.18189e-06,2.494e-07
-7.55878e-08,-5.2582e-07,3.07664e-07
-3.45034e-07,8.41659e-07,6.95945e-07
-7.31533e-07,-8.79631e-07,7.67188e-07
3.2216e-07,9.48822e-08,1.08274e-06
-1.17758e-06,1.12093e-06,4.59977e-07
-1.36267e-06,5.12583e-07,6.32681e-07
3.66806e-07,-4.14771e-07,-5.11667e-08
-6.43362e-07,-1.31995e-07,4.76469e-07
-4.14148e-07,-4.99606e-07,1.23404e-06
-7.12149e-07,7.52379e-08,-2.81638e-08
-5.25345e-07,6.44195e-07,1.0822e-06
2.19836e-07,-5.20869e-07,1.19534e-06
-1.00061e-06,-4.72589e-07,9.63149e-07
-9.0674e-07,1.41648e-06,1.0677e-06
-8.7388e-07,8.79076e-07,9.69081e-07
6.13844e-07,-5.00651e-07,1.6255e-06
1.12194e-06,1.38997e-06,7.72324e-07
1.10268e-06,7.36471e-07,2.86097e-07
-9.71119e-07,1.28114e-06,4.86038e-07
3.57209e-07,-6.37455e-07,9.37135e-07
-3.75358e-07,-4.87247e-07,1.59485e-06
5.59061e-07,3.01492e-07,1.58305e-06
1.83691e-07,4.80959e-07,1.6826e-06
-1.33846e-06,-1.09004e-07,7.6079e-07
-1.34358e-06,-1.13563e-07,3.7554e-07
1.51616e-06,5.91135e-07,2.53915e-07
