x,y
5.1421e-05,5.20698e-05
5.35525e-05,5.48459e-05
5.30676e-05,5.15349e-05
5.12096e-05,5.20126e-05
5.36554e-05,5.49139e-05
5.30801e-05,5.15453e-05
5.11611e-05,5.19999e-05
5.36843e-05,5.49208e-05
5.3094e-05,5.15707e-05
5.11554e-05,5.1996e-05
5.36946e-05,5.49132e-05
5.31094e-05,5.15973e-05
5.1161e-05,5.19933e-05
5.37009e-05,5.49026e-05
5.31249e-05,5.16236e-05
5.11697e-05,5.19907e-05
5.37063e-05,5.48912e-05
5.31402e-05,5.16495e-05
5.11795e-05,5.19881e-05
5.37115e-05,5.48795e-05
5.31552e-05,5.1675e-05
5.11898e-05,5.19859e-05
5.37163e-05,5.48674e-05
5.31699e-05,5.17e-05
5.12006e-05,5.1984e-05
5.37208e-05,5.4855e-05
5.31845e-05,5.17245e-05
5.12117e-05,5.19825e-05
5.37249e-05,5.48422e-05
5.31988e-05,5.17485e-05
5.12232e-05,5.19816e-05
5.37286e-05,5.4829e-05
5.32129e-05,5.17718e-05
5.12349e-05,5.19813e-05
5.37318e-05,5.48154e-05
5.32269e-05,5.17944e-05
5.12469e-05,5.19816e-05
5.37344e-05,5.48013e-05
5.32407e-05,5.18163e-05
5.12591e-05,5.19826e-05
5.37364e-05,5.47869e-05
5.32544e-05,5.18375e-05
5.12716e-05,5.19844e-05
5.37378e-05,5.4772e-05
5.3268e-05,5.18579e-05
5.12842e-05,5.19868e-05
5.37385e-05,5.47568e-05
5.32815e-05,5.18775e-05
5.1297e-05,5.19901e-05
5.37385e-05,5.47411e-05
5.32949e-05,5.18962e-05
5.131e-05,5.19942e-05
5.37377e-05,5.47251e-05
5.33082e-05,5.19141e-05
5.13231e-05,5.19991e-05
5.37361e-05,5.47087e-05
5.33215e-05,5.19312e-05
5.13362e-05,5.20049e-05
5.37338e-05,5.4692e-05
5.33348e-05,5.19474e-05
5.13495e-05,5.20116e-05
5.37305e-05,5.46751e-05
5.3348e-05,5.19627e-05
5.13627e-05,5.20192e-05
5.37265e-05,5.46578e-05
5.33612e-05,5.19772e-05
5.13761e-05,5.20277e-05
5.37216e-05,5.46404e-05
5.33744e-05,5.19909e-05
5.13894e-05,5.2037e-05
5.37158e-05,5.46228e-05
5.33876e-05,5.20037e-05
5.14027e-05,5.20472e-05
5.37091e-05,5.4605e-05
5.34008e-05,5.20157e-05
5.1416e-05,5.20583e-05
5.37016e-05,5.45872e-05
5.3414e-05,5.20268e-05
5.14294e-05,5.20703e-05
5.36932e-05,5.45693e-05
5.34271e-05,5.20372e-05
5.14426e-05,5.2083e-05
5.3684e-05,5.45515e-05
5.34402e-05,5.20467e-05
5.14559e-05,5.20966e-05
5.36739e-05,5.45337e-05
5.34532e-05,5.20555e-05
5.14692e-05,5.21109e-05
5.3663e-05,5.4516e-05
5.34663e-05,5.20636e-05
5.14824e-05,5.2126e-05
5.36514e-05,5.44985e-05
5.34792e-05,5.20709e-05
5.14956e-05,5.21418e-05
5.36389e-05,5.44812e-05
5.34921e-05,5.20776e-05
5.15088e-05,5.21583e-05
5.36257e-05,5.44641e-05
5.35049e-05,5.20835e-05
5.15219e-05,5.21755e-05
5.36118e-05,5.44473e-05
5.35176e-05,5.20888e-05
5.1535e-05,5.21933e-05
5.35972e-05,5.44308e-05
5.35302e-05,5.20935e-05
5.1548e-05,5.22117e-05
5.3582e-05,5.44147e-05
5.35427e-05,5.20976e-05
5.1561e-05,5.22307e-05
5.3566e-05,5.4399e-05
5.35551e-05,5.21011e-05
5.1574e-05,5.22502e-05
5.35495e-05,5.43837e-05
5.35673e-05,5.21041e-05
5.15865e-05,5.22702e-05
5.35324e-05,5.43688e-05
5.35798e-05,5.21066e-05
5.15985e-05,5.22907e-05
5.35148e-05,5.43545e-05
5.35924e-05,5.21085e-05
5.16101e-05,5.23116e-05
5.34966e-05,5.43406e-05
5.36051e-05,5.21101e-05
5.16213e-05,5.2333e-05
5.3478e-05,5.43273e-05
5.3618e-05,5.21112e-05
5.16319e-05,5.23548e-05
5.34589e-05,5.43145e-05
5.36309e-05,5.21119e-05
5.16421e-05,5.23769e-05
5.34394e-05,5.43022e-05
5.3644e-05,5.21122e-05
5.16518e-05,5.23993e-05
5.34195e-05,5.42906e-05
5.36571e-05,5.21121e-05
5.16609e-05,5.2422e-05
