x,y
5.19836e-05,5.06524e-05
5.2053e-05,5.06513e-05
5.20702e-05,5.05889e-05
5.20737e-05,5.05752e-05
5.20903e-05,5.06005e-05
5.20949e-05,5.06467e-05
5.20968e-05,5.06373e-05
5.20962e-05,5.06117e-05
5.21638e-05,5.05264e-05
5.21673e-05,5.05639e-05
5.21586e-05,5.05591e-05
5.21398e-05,5.05424e-05
5.21532e-05,5.05497e-05
5.21689e-05,5.05055e-05
5.21847e-05,5.05039e-05
5.21476e-05,5.04823e-05
5.21777e-05,5.04549e-05
5.22197e-05,5.04213e-05
5.21742e-05,5.04158e-05
5.21664e-05,5.04132e-05
5.21636e-05,5.04144e-05
5.21587e-05,5.03912e-05
5.22001e-05,5.03745e-05
5.22163e-05,5.04228e-05
5.22349e-05,5.04129e-05
5.22383e-05,5.03807e-05
5.22463e-05,5.03995e-05
5.22393e-05,5.03968e-05
5.22309e-05,5.04066e-05
5.22446e-05,5.04148e-05
5.22429e-05,5.03749e-05
5.22547e-05,5.03385e-05
5.22325e-05,5.0329e-05
5.22379e-05,5.03007e-05
5.22645e-05,5.03253e-05
5.22589e-05,5.03091e-05
5.2262e-05,5.03534e-05
5.22622e-05,5.03192e-05
5.22357e-05,5.02926e-05
5.22519e-05,5.02825e-05
5.23223e-05,5.02403e-05
5.22926e-05,5.02523e-05
5.2288e-05,5.02536e-05
5.22827e-05,5.02721e-05
5.2297e-05,5.03013e-05
5.23076e-05,5.03203e-05
5.23114e-05,5.03267e-05
5.2303e-05,5.03219e-05
5.23023e-05,5.03404e-05
5.23057e-05,5.03223e-05
5.22859e-05,5.03459e-05
5.22845e-05,5.03692e-05
5.22769e-05,5.03448e-05
5.23061e-05,5.03623e-05
5.23037e-05,5.03294e-05
5.23469e-05,5.03407e-05
5.23261e-05,5.03475e-05
5.23695e-05,5.04054e-05
5.23602e-05,5.04342e-05
5.23607e-05,5.03874e-05
5.23863e-05,5.03798e-05
5.23977e-05,5.03532e-05
5.24155e-05,5.04092e-05
5.24214e-05,5.04288e-05
5.24171e-05,5.04119e-05
5.24277e-05,5.04488e-05
5.24932e-05,5.04327e-05
5.24885e-05,5.04259e-05
5.25209e-05,5.03661e-05
5.25116e-05,5.04085e-05
5.24857e-05,5.03453e-05
5.25239e-05,5.03151e-05
5.25598e-05,5.03084e-05
5.25404e-05,5.03191e-05
5.25868e-05,5.03257e-05
5.26933e-05,5.03479e-05
5.26806e-05,5.03152e-05
5.26625e-05,5.02736e-05
5.26419e-05,5.03189e-05
5.26348e-05,5.02847e-05
5.26275e-05,5.02669e-05
5.26355e-05,5.02324e-05
5.26222e-05,5.02214e-05
5.26454e-05,5.02185e-05
5.26536e-05,5.02373e-05
5.26844e-05,5.02264e-05
5.2716e-05,5.0189e-05
5.27363e-05,5.01987e-05
5.2758e-05,5.02327e-05
5.27413e-05,5.02251e-05
5.27649e-05,5.02452e-05
5.27652e-05,5.01876e-05
5.27488e-05,5.01781e-05
5.27454e-05,5.01942e-05
5.27731e-05,5.02079e-05
5.27633e-05,5.02002e-05
5.28023e-05,5.01795e-05
5.27948e-05,5.02075e-05
5.27887e-05,5.02181e-05
5.28243e-05,5.02147e-05
