x,y,z
-1.18729e-06,1.52098e-06,5.86823e-07
4.90157e-07,-7.66875e-07,1.46786e-06
-1.30686e-06,1.3465e-08,1.3879e-06
-1.60185e-06,1.22371e-06,9.88839e-07
1.36658e-06,1.09631e-06,-1.31423e-07
1.22663e-06,-1.94704e-06,-8.9732e-08
3.77643e-07,7.61955e-07,1.49327e-06
-1.27161e-06,1.56076e-06,-1.59186e-07
3.11993e-07,-1.62262e-06,-1.61554e-07
-5.02207e-07,-1.06322e-08,1.26951e-06
-1.50078e-06,1.60259e-06,-2.4123e-08
-7.42304e-07,-1.37123e-06,6.56352e-07
1.3783e-06,1.27736e-06,5.18827e-08
-5.64319e-07,6.50279e-07,1.5178e-06
-2.14947e-07,-1.78488e-06,4.42706e-07
5.6622e-07,-3.98493e-07,1.58642e-08
9.10988e-07,5.44236e-07,1.40689e-06
6.08163e-07,1.0827e-06,1.91863e-07
-1.55649e-06,1.60569e-06,3.41901e-07
1.6129e-06,1.58968e-06,2.87535e-07
-1.72656e-06,-3.66496e-07,2.95758e-07
1.76668e-06,-1.2885e-06,1.79767e-07
1.93924e-07,-8.38585e-08,1.33564e-06
-1.29061e-06,-1.33332e-06,7.85233e-07
-5.20754e-07,-1.6041e-06,3.94039e-09
-1.47834e-06,1.39334e-06,-7.64852e-08
-1.53047e-06,-1.33759e-06,2.70527e-07
1.38221e-06,8.29377e-07,7.75565e-07
-4.61158e-08,-7.8882e-08,3.3743e-07
3.72309e-07,4.09169e-07,1.43763e-06
-1.02744e-06,1.88829e-06,3.77687e-07
-1.82731e-07,-2.37422e-07,1.33072e-08
-1.24984e-06,-5.26024e-07,-6.49009e-09
-1.47947e-06,1.66189e-06,7.71013e-07
4.62664e-08,-4.5563e-07,1.504e-06
7.62262e-07,9.07951e-07,7.89026e-07
-5.7735e-07,-1.29767e-06,-7.34079e-08
6.5106e-07,-1.89622e-06,3.9102e-07
5.02338e-07,7.81727e-07,6.79952e-07
1.33983e-06,4.12715e-07,9.12509e-07
-1.69455e-06,-1.21679e-06,6.52512e-07
1.67613e-07,1.12218e-07,1.17407e-06
3.79157e-07,7.57116e-07,1.4807e-06
2.1333e-07,1.1183e-06,1.17707e-06
-9.58209e-07,8.26439e-07,4.86381e-07
-1.35067e-06,-1.81662e-09,2.05071e-07
-1.63561e-06,1.71052e-06,-1.6128e-07
1.20054e-06,-1.16838e-06,1.04193e-06
-1.43801e-06,1.22216e-06,1.21814e-06
7.18011e-07,9.29004e-08,5.03101e-07
8.06006e-07,1.33602e-06,4.85394e-07
1.62754e-06,-1.74756e-06,2.42575e-07
5.22945e-07,1.66459e-06,4.09438e-08
-9.67473e-07,-4.35099e-07,1.45868e-06
8.60024e-07,-4.35392e-07,1.2486e-06
1.57322e-07,-8.55207e-07,1.62695e-06
-1.19675e-06,-1.3363e-06,6.82532e-07
1.3727e-06,-9.50505e-08,6.98024e-07
1.46485e-06,8.6565e-07,1.05372e-08
-2.08687e-07,-2.34568e-07,1.92112e-06
-7.92171e-07,-8.9981e-07,1.50256e-06
6.05748e-07,-2.62497e-07,6.39886e-07
9.61586e-08,5.62316e-08,1.51412e-06
-3.17497e-07,-4.48575e-07,-6.29409e-08
-8.70025e-08,2.03463e-07,1.64783e-06
-1.44952e-06,7.73379e-07,9.05498e-07
-1.72749e-06,-1.73756e-06,1.19231e-07
-1.27305e-07,6.45838e-07,-1.58707e-07
-6.00577e-07,-1.29731e-06,9.50185e-07
8.95086e-07,-1.44966e-06,1.36304e-06
-1.55612e-06,-1.07157e-06,-9.87028e-08
1.29041e-06,-1.12508e-06,8.85037e-07
9.56186e-07,-8.71356e-07,1.46275e-06
-4.30213e-07,7.11337e-07,1.46566e-06
2.46788e-07,-8.42751e-07,1.75296e-06
5.32112e-07,-7.29874e-07,1.41555e-06
-2.15766e-07,7.15772e-07,-1.60353e-07
4.62675e-07,8.3724e-07,1.3708e-06
1.06894e-06,7.2567e-07,1.06066e-06
-1.46068e-06,1.65314e-06,4.69779e-07
-3.31713e-07,1.04598e-06,1.65684e-06
-1.51624e-06,1.05513e-07,-7.64123e-08
1.71265e-06,-1.22846e-07,-1.71331e-07
1.1055e-06,1.48329e-06,-1.08593e-07
5.52814e-07,-4.76219e-07,1.68032e-06
-1.07038e-06,-1.5171e-06,7.05257e-07
4.96008e-07,2.53809e-08,4.61039e-07
-1.51685e-06,-1.49353e-06,3.12783e-07
-2.60626e-08,6.88627e-07,5.05838e-07
-1.11753e-06,-6.70634e-07,1.30854e-06
5.66284e-07,5.55886e-07,1.72954e-06
