x,y,z
2.2e-06,0,0
2.21481e-06,-7.11246e-08,4.22322e-08
2.13011e-06,-9.7949e-08,-6.23476e-08
2.03197e-06,-1.34564e-07,-9.31293e-08
1.99932e-06,-1.90408e-07,-1.6089e-08
1.9744e-06,-2.38518e-07,-1.39063e-08
1.96639e-06,-1.91054e-07,9.29762e-08
1.98236e-06,-2.85111e-07,6.21671e-09
1.90359e-06,-4.50847e-07,-1.01598e-07
1.93654e-06,-4.84789e-07,-1.63867e-08
1.81821e-06,-6.05406e-07,-3.57132e-08
1.75407e-06,-6.8197e-07,-4.12441e-08
1.69953e-06,-6.66859e-07,-5.65979e-08
1.58323e-06,-6.68491e-07,-7.84333e-08
1.51613e-06,-6.8174e-07,-1.59619e-07
1.4864e-06,-7.64804e-07,-1.56548e-07
1.47983e-06,-8.15785e-07,-1.99209e-07
1.34628e-06,-8.07523e-07,-2.13642e-07
1.33416e-06,-8.40885e-07,-2.61041e-07
1.28489e-06,-9.2327e-07,-1.3269e-07
1.31085e-06,-8.90042e-07,-2.08436e-07
1.1967e-06,-8.59815e-07,-1.82324e-07
1.23122e-06,-9.0301e-07,-2.34975e-07
1.36112e-06,-1.00657e-06,-2.70116e-07
1.26952e-06,-9.96092e-07,-2.72232e-07
1.25151e-06,-1.14648e-06,-2.65241e-07
1.2494e-06,-1.12023e-06,-2.8948e-07
1.08582e-06,-1.08664e-06,-2.43299e-07
1.11627e-06,-1.06774e-06,-3.6258e-07
1.0992e-06,-1.11482e-06,-3.59813e-07
1.12295e-06,-1.20236e-06,-3.70588e-07
1.14129e-06,-1.08879e-06,-3.08978e-07
1.11081e-06,-1.04091e-06,-4.19956e-07
1.08176e-06,-1.14251e-06,-4.50086e-07
1.079e-06,-1.23187e-06,-4.17672e-07
1.10831e-06,-1.20893e-06,-3.67986e-07
1.1296e-06,-1.04155e-06,-4.30813e-07
1.08486e-06,-1.14637e-06,-5.5563e-07
1.06965e-06,-1.14403e-06,-6.37988e-07
1.06321e-06,-1.09321e-06,-7.10074e-07
1.04524e-06,-1.12119e-06,-5.98642e-07
1.11473e-06,-1.06037e-06,-6.07795e-07
1.09558e-06,-1.16423e-06,-4.79628e-07
1.08695e-06,-1.10682e-06,-4.23621e-07
1.09056e-06,-1.11793e-06,-4.53293e-07
9.89421e-07,-1.06898e-06,-4.55464e-07
9.01718e-07,-1.00312e-06,-3.13068e-07
8.73644e-07,-9.83264e-07,-3.83842e-07
8.42073e-07,-1.03627e-06,-3.56228e-07
8.1028e-07,-9.95608e-07,-2.87336e-07
8.29781e-07,-9.73401e-07,-2.78861e-07
9.74565e-07,-9.90804e-07,-4.30942e-07
8.29891e-07,-1.09347e-06,-4.228e-07
7.39351e-07,-9.68648e-07,-3.72196e-07
7.79971e-07,-9.50313e-07,-6.10341e-07
6.83704e-07,-8.97322e-07,-7.09514e-07
7.24752e-07,-8.68703e-07,-7.52463e-07
8.07334e-07,-8.25646e-07,-6.65133e-07
7.76804e-07,-8.65365e-07,-7.59239e-07
7.65085e-07,-7.9429e-07,-7.9102e-07
7.64335e-07,-8.56348e-07,-9.23645e-07
8.09439e-07,-9.68571e-07,-9.27119e-07
8.33963e-07,-9.16133e-07,-9.33334e-07
7.72883e-07,-9.7821e-07,-9.30772e-07
7.64504e-07,-9.84505e-07,-1.0033e-06
6.53564e-07,-9.73428e-07,-1.07311e-06
7.05438e-07,-8.74447e-07,-1.11546e-06
7.49361e-07,-8.89099e-07,-1.0862e-06
6.74906e-07,-8.5197e-07,-1.11284e-06
7.22358e-07,-8.69503e-07,-1.00291e-06
7.40593e-07,-8.87723e-07,-1.05575e-06
7.47697e-07,-7.2061e-07,-1.06347e-06
7.08477e-07,-6.99058e-07,-1.07572e-06
6.58978e-07,-6.65656e-07,-1.07736e-06
6.80542e-07,-6.2306e-07,-9.51878e-07
7.60293e-07,-5.71844e-07,-1.00883e-06
8.08241e-07,-5.15989e-07,-1.09192e-06
8.34672e-07,-4.13018e-07,-1.05475e-06
7.878e-07,-3.82319e-07,-1.14605e-06
6.90854e-07,-2.95211e-07,-1.09832e-06
6.4929e-07,-4.71152e-07,-1.16805e-06
6.9101e-07,-5.55e-07,-1.19131e-06
9.35303e-07,-5.07769e-07,-1.11732e-06
9.13629e-07,-4.14482e-07,-1.07828e-06
9.44233e-07,-3.47431e-07,-1.13051e-06
9.3936e-07,-4.28942e-07,-1.0913e-06
8.07042e-07,-4.86332e-07,-1.2065e-06
7.08555e-07,-5.0312e-07,-1.13433e-06
7.4342e-07,-4.78072e-07,-1.25947e-06
6.79087e-07,-4.61322e-07,-1.36731e-06
7.54741e-07,-4.80622e-07,-1.37843e-06
8.50587e-07,-3.91628e-07,-1.30852e-06
7.49869e-07,-3.96567e-07,-1.29895e-06
7.11042e-07,-5.35289e-07,-1.30388e-06
6.21138e-07,-4.35571e-07,-1.30293e-06
6.31462e-07,-5.28629e-07,-1.21937e-06
5.87546e-07,-5.00749e-07,-1.35825e-06
5.88283e-07,-6.03194e-07,-1.33771e-06
5.85978e-07,-6.03515e-07,-1.35981e-06
5.85395e-07,-6.4125e-07,-1.30006e-06
6.31683e-07,-5.25379e-07,-1.3727e-06
