x,y,z
0.187479,0,1.03833e+08
0.374959,0,2.07666e+08
0.562438,0,3.11499e+08
0.749918,0,4.15331e+08
0.937397,0,5.19164e+08
1.12488,0,6.22997e+08
1.31236,0,7.2683e+08
1.49984,0,8.30663e+08
1.68732,0,9.34496e+08
1.87479,0,1.03833e+09
2.06227,0,1.14216e+09
2.24975,0,1.24599e+09
2.43723,0,1.34983e+09
2.62471,0,1.45366e+09
2.81219,0,1.55749e+09
2.99967,0,1.66133e+09
3.18715,0,1.76516e+09
3.37463,0,1.86899e+09
3.56211,0,1.97282e+09
3.74959,0,2.07666e+09
3.93707,0,2.18049e+09
4.12455,0,2.28432e+09
4.31203,0,2.38816e+09
4.49951,0,2.49199e+09
4.68699,0,2.59582e+09
4.87447,0,2.69965e+09
5.06195,0,2.80349e+09
5.24943,0,2.90732e+09
5.4369,0,3.01115e+09
5.62438,0,3.11499e+09
5.81186,0,3.21882e+09
5.99934,0,3.32265e+09
6.18682,0,3.42648e+09
6.3743,0,3.53032e+09
6.56178,0,3.63415e+09
6.74926,0,3.73798e+09
6.93674,0,3.84182e+09
7.12422,0,3.94565e+09
7.3117,0,4.04948e+09
7.49918,0,4.15331e+09
7.68666,0,4.25715e+09
7.87414,0,4.36098e+09
8.06162,0,4.46481e+09
8.2491,0,4.56865e+09
8.43658,0,4.67248e+09
8.62406,0,4.77631e+09
8.81154,0,4.88014e+09
8.99901,0,4.98398e+09
9.18649,0,5.08781e+09
9.37397,0,5.19164e+09
