x,y,z,temperature
-4e-06,0,-4e-06,0.0901156
-4e-06,0,-3.97333e-06,0.0904147
-4e-06,0,-3.94667e-06,0.0907152
-4e-06,0,-3.92e-06,0.0910171
-4e-06,0,-3.89333e-06,0.0913205
-4e-06,0,-3.86667e-06,0.0916253
-4e-06,0,-3.84e-06,0.0919315
-4e-06,0,-3.81333e-06,0.0922392
-4e-06,0,-3.78667e-06,0.0925483
-4e-06,0,-3.76e-06,0.0928588
-4e-06,0,-3.73333e-06,0.0931708
-4e-06,0,-3.70667e-06,0.0934842
-4e-06,0,-3.68e-06,0.093799
-4e-06,0,-3.65333e-06,0.0941153
-4e-06,0,-3.62667e-06,0.094433
-4e-06,0,-3.6e-06,0.0947522
-4e-06,0,-3.57333e-06,0.0950729
-4e-06,0,-3.54667e-06,0.0953949
-4e-06,0,-3.52e-06,0.0957184
-4e-06,0,-3.49333e-06,0.0960434
-4e-06,0,-3.46667e-06,0.0963698
-4e-06,0,-3.44e-06,0.0966976
-4e-06,0,-3.41333e-06,0.0970269
-4e-06,0,-3.38667e-06,0.0973576
-4e-06,0,-3.36e-06,0.0976897
-4e-06,0,-3.33333e-06,0.0980233
-4e-06,0,-3.30667e-06,0.0983583
-4e-06,0,-3.28e-06,0.0986948
-4e-06,0,-3.25333e-06,0.0990326
-4e-06,0,-3.22667e-06,0.0993719
-4e-06,0,-3.2e-06,0.0997126
-4e-06,0,-3.17333e-06,0.100055
-4e-06,0,-3.14667e-06,0.100398
-4e-06,0,-3.12e-06,0.100743
-4e-06,0,-3.09333e-06,0.101089
-4e-06,0,-3.06667e-06,0.101437
-4e-06,0,-3.04e-06,0.101786
-4e-06,0,-3.01333e-06,0.102137
-4e-06,0,-2.98667e-06,0.102488
-4e-06,0,-2.96e-06,0.102841
-4e-06,0,-2.93333e-06,0.103196
-4e-06,0,-2.90667e-06,0.103552
-4e-06,0,-2.88e-06,0.103909
-4e-06,0,-2.85333e-06,0.104267
-4e-06,0,-2.82667e-06,0.104627
-4e-06,0,-2.8e-06,0.104988
-4e-06,0,-2.77333e-06,0.105351
-4e-06,0,-2.74667e-06,0.105714
-4e-06,0,-2.72e-06,0.106079
-4e-06,0,-2.69333e-06,0.106445
-4e-06,0,-2.66667e-06,0.106812
-4e-06,0,-2.64e-06,0.107181
-4e-06,0,-2.61333e-06,0.107551
-4e-06,0,-2.58667e-06,0.107921
-4e-06,0,-2.56e-06,0.108293
-4e-06,0,-2.53333e-06,0.108667
-4e-06,0,-2.50667e-06,0.109041
-4e-06,0,-2.48e-06,0.109416
-4e-06,0,-2.45333e-06,0.109792
-4e-06,0,-2.42667e-06,0.11017
-4e-06,0,-2.4e-06,0.110548
-4e-06,0,-2.37333e-06,0.110928
-4e-06,0,-2.34667e-06,0.111308
-4e-06,0,-2.32e-06,0.111689
-4e-06,0,-2.29333e-06,0.112072
-4e-06,0,-2.26667e-06,0.112455
-4e-06,0,-2.24e-06,0.112839
-4e-06,0,-2.21333e-06,0.113224
-4e-06,0,-2.18667e-06,0.113609
-4e-06,0,-2.16e-06,0.113995
-4e-06,0,-2.13333e-06,0.114383
-4e-06,0,-2.10667e-06,0.11477
-4e-06,0,-2.08e-06,0.115159
-4e-06,0,-2.05333e-06,0.115548
-4e-06,0,-2.02667e-06,0.115937
-4e-06,0,-2e-06,0.116327
-4e-06,0,-1.97333e-06,0.116718
-4e-06,0,-1.94667e-06,0.117109
-4e-06,0,-1.92e-06,0.1175
-4e-06,0,-1.89333e-06,0.117892
-4e-06,0,-1.86667e-06,0.118284
-4e-06,0,-1.84e-06,0.118676
-4e-06,0,-1.81333e-06,0.119069
-4e-06,0,-1.78667e-06,0.119461
-4e-06,0,-1.76e-06,0.119854
-4e-06,0,-1.73333e-06,0.120247
