t,x,y,z,v
0,-0,0,0,0
0,9.59563e-09,5.71416e-08,7.47242e-08,4.60513e-07
0.01,-1.26729e-08,-1.74814e-08,1.31879e-10,4.64083e-07
0.02,5.65589e-08,1.5092e-08,7.45811e-08,4.60044e-07
0.03,2.61296e-09,2.11541e-07,1.03658e-07,4.62389e-07
0.04,1.08544e-07,1.99247e-07,1.0451e-07,4.69652e-07
0.05,1.17756e-07,1.31622e-07,1.24258e-08,4.48368e-07
0.06,2.23273e-07,1.46836e-07,-4.30783e-08,4.58434e-07
0.07,1.3981e-07,6.3961e-08,-6.08112e-08,4.54293e-07
0.08,1.54904e-07,-3.67831e-09,-4.37396e-08,4.58036e-07
0.09,7.00542e-09,-3.35464e-10,-6.04082e-08,4.61349e-07
0.1,-7.07306e-08,-1.53747e-08,-8.96461e-08,4.6164e-07
0.11,-1.64664e-07,-1.79843e-09,-1.42824e-07,4.59109e-07
0.12,-1.3362e-07,-4.47901e-08,-1.23774e-07,4.62519e-07
0.13,-2.66029e-07,-2.35677e-08,-1.22284e-07,4.62806e-07
0.14,-1.89515e-07,-5.55362e-08,-1.3447e-07,4.62932e-07
0.15,-2.7533e-07,-1.54297e-07,-1.64299e-07,4.59982e-07
0.16,-3.17243e-07,-2.15025e-07,-1.82475e-07,4.63161e-07
0.17,-4.68348e-07,-1.73351e-07,-1.09644e-07,4.66052e-07
0.18,-4.15082e-07,-2.08344e-07,-9.25164e-08,4.6063e-07
0.19,-3.757e-07,-2.14982e-07,-2.14675e-07,4.61797e-07
0.2,-4.42335e-07,-3.02684e-07,-1.49903e-07,4.61589e-07
0.21,-5.89295e-07,-2.91501e-07,-1.22563e-07,4.5814e-07
0.22,-5.48854e-07,-2.11507e-07,-9.83418e-08,4.58392e-07
0.23,-5.44512e-07,-1.49686e-07,-1.514e-07,4.54733e-07
0.24,-5.96386e-07,-1.56141e-07,-1.14259e-07,4.57948e-07
0.25,-7.2174e-07,-2.17891e-07,-5.36504e-08,4.61202e-07
0.26,-7.2498e-07,-2.08108e-07,-5.30566e-08,4.60234e-07
0.27,-7.04875e-07,-2.51787e-07,-7.40371e-08,4.60559e-07
0.28,-7.36953e-07,-2.42827e-07,-8.49256e-08,4.61849e-07
0.29,-6.87235e-07,-2.47322e-07,-1.5733e-07,4.60069e-07
0.3,-7.38967e-07,-2.70645e-07,-1.16929e-07,4.60576e-07
0.31,-8.85802e-07,-2.16979e-07,-1.56407e-07,4.58648e-07
0.32,-8.66717e-07,-2.93282e-07,-2.01145e-07,4.55485e-07
0.33,-8.33072e-07,-2.87079e-07,-2.50443e-07,4.60106e-07
0.34,-7.61751e-07,-2.57266e-07,-2.56847e-07,4.57428e-07
0.35,-8.41181e-07,-3.4219e-07,-3.36746e-07,4.62531e-07
0.36,-8.51771e-07,-3.29868e-07,-3.61729e-07,4.54608e-07
0.37,-9.45378e-07,-2.26874e-07,-3.54929e-07,4.60822e-07
0.38,-8.98665e-07,-1.44216e-07,-4.20912e-07,4.58189e-07
0.39,-8.9202e-07,-1.80731e-07,-3.82554e-07,4.57466e-07
0.4,-8.77991e-07,-1.92738e-07,-4.61944e-07,4.52286e-07
0.41,-9.31584e-07,-2.26292e-07,-3.97225e-07,4.61447e-07
0.42,-9.0943e-07,-2.52802e-07,-4.3052e-07,4.55662e-07
0.43,-9.36285e-07,-2.92724e-07,-5.04937e-07,4.57249e-07
0.44,-1.02503e-06,-4.43407e-07,-5.20317e-07,4.60789e-07
0.45,-9.72831e-07,-3.70002e-07,-4.62401e-07,4.6291e-07
0.46,-9.86694e-07,-3.0502e-07,-3.65085e-07,4.58779e-07
0.47,-9.43922e-07,-2.88014e-07,-3.47951e-07,4.56275e-07
0.48,-9.61773e-07,-2.71662e-07,-3.02159e-07,4.54266e-07
0.49,-1.03457e-06,-2.74743e-07,-1.9749e-07,4.62569e-07
0.5,-1.08508e-06,-3.33429e-07,-1.18239e-07,4.63517e-07
0.51,-1.13951e-06,-3.85616e-07,-1.60505e-07,4.56527e-07
