t,x,y,z,v
0,2e-07,0,4e-07,0
0,-1.80271e-06,6.21833e-08,7.39775e-07,1.3292e-06
0.01,-1.90357e-06,6.7261e-08,8.3054e-07,4.26906e-07
0.02,-1.84866e-06,1.43681e-08,8.82985e-07,4.2482e-07
0.03,-1.80501e-06,1.19533e-09,9.45508e-07,4.12276e-07
0.04,-1.79279e-06,-7.71643e-08,1.05779e-06,4.12987e-07
0.05,-1.89484e-06,-1.39089e-07,9.52649e-07,4.15649e-07
0.06,-1.84197e-06,-1.81764e-07,9.7465e-07,4.16713e-07
0.07,-1.79759e-06,-1.59556e-07,9.75266e-07,4.20996e-07
0.08,-1.93091e-06,-3.71578e-08,1.03613e-06,4.26548e-07
0.09,-1.89929e-06,-1.21757e-07,1.02341e-06,4.12616e-07
0.1,-1.87675e-06,-2.06169e-07,1.06839e-06,4.11142e-07
0.11,-1.98812e-06,-2.25392e-07,1.05706e-06,4.14737e-07
0.12,-1.97722e-06,-1.611e-07,9.81441e-07,4.01559e-07
0.13,-1.92051e-06,-1.34247e-07,1.0006e-06,4.04559e-07
0.14,-1.89064e-06,-1.23609e-07,1.01795e-06,4.06522e-07
0.15,-1.85768e-06,-8.44181e-08,9.95363e-07,4.1139e-07
0.16,-2.01486e-06,-1.20087e-07,9.53848e-07,4.0988e-07
0.17,-1.93453e-06,-1.14987e-07,1.01458e-06,3.97772e-07
0.18,-1.97132e-06,-7.45996e-08,1.07981e-06,4.02896e-07
0.19,-1.96306e-06,-4.94849e-08,9.90383e-07,3.99189e-07
0.2,-1.95534e-06,-3.05886e-08,9.37506e-07,3.97161e-07
0.21,-1.92336e-06,-1.07536e-07,9.93591e-07,3.93137e-07
0.22,-1.90032e-06,-9.40185e-08,9.80952e-07,3.97216e-07
0.23,-1.77454e-06,-8.05596e-08,1.01625e-06,4.01101e-07
0.24,-1.69127e-06,-1.87526e-09,9.64583e-07,4.11962e-07
0.25,-1.737e-06,1.21797e-08,9.22703e-07,4.10426e-07
0.26,-1.73083e-06,-1.05383e-07,8.58766e-07,4.17356e-07
0.27,-1.6877e-06,-1.5096e-07,7.52247e-07,4.15469e-07
0.28,-1.63672e-06,-1.27683e-07,8.42262e-07,4.22978e-07
0.29,-1.53695e-06,-8.7585e-08,8.17149e-07,4.24068e-07
0.3,-1.602e-06,-1.11821e-07,8.62395e-07,4.29588e-07
0.31,-1.52706e-06,-1.19118e-09,8.13924e-07,4.26826e-07
0.32,-1.51374e-06,4.60838e-08,7.97879e-07,4.49725e-07
0.33,-1.43106e-06,-3.61141e-08,7.80926e-07,4.57905e-07
0.34,-1.45825e-06,-4.80845e-08,7.11918e-07,4.70715e-07
0.35,-1.39326e-06,-6.54729e-08,7.29347e-07,4.87503e-07
0.36,-1.41714e-06,-6.25697e-08,6.90881e-07,5.2374e-07
0.37,-1.45981e-06,-6.80496e-08,6.67143e-07,5.1244e-07
0.38,-1.44401e-06,-1.21014e-07,6.36579e-07,5.08886e-07
0.39,-1.39145e-06,-8.17158e-08,6.67374e-07,5.18831e-07
0.4,-1.43467e-06,-2.4266e-08,6.22981e-07,5.11129e-07
0.41,-1.38277e-06,-1.30262e-07,6.98719e-07,5.08525e-07
0.42,-1.30581e-06,-9.0068e-08,6.98449e-07,5.06072e-07
0.43,-1.40588e-06,1.28379e-08,7.22324e-07,4.98644e-07
0.44,-1.2831e-06,-5.93546e-09,6.54335e-07,5.0458e-07
0.45,-1.29069e-06,8.08763e-08,7.2778e-07,5.12121e-07
0.46,-1.20351e-06,7.25189e-08,7.25967e-07,5.34281e-07
0.47,-1.27041e-06,-2.14047e-08,7.55889e-07,5.25162e-07
0.48,-1.29889e-06,-1.07196e-07,8.80904e-07,5.23502e-07
0.49,-1.23138e-06,-2.36202e-07,8.60384e-07,5.20313e-07
0.5,-1.31519e-06,-5.72127e-08,9.00886e-07,5.39818e-07
0.51,-1.36257e-06,-2.776e-08,9.1581e-07,5.11517e-07
0.52,-1.32574e-06,-5.88773e-09,9.55065e-07,5.15651e-07
0.53,-1.43129e-06,1.51394e-08,9.51056e-07,5.2065e-07
0.54,-1.436e-06,-7.73246e-08,9.68227e-07,5.06209e-07
0.55,-1.44787e-06,-8.19721e-08,1.03521e-06,5.00612e-07
0.56,-1.40301e-06,-9.73947e-08,1.04047e-06,5.01525e-07
0.57,-1.4362e-06,-1.08297e-07,1.05113e-06,5.09851e-07
0.58,-1.37796e-06,-2.0977e-07,1.03964e-06,5.02122e-07
0.59,-1.31054e-06,-2.11721e-07,9.87836e-07,5.08258e-07
0.6,-1.32439e-06,-2.20217e-07,9.29726e-07,4.97359e-07
0.61,-1.28781e-06,-1.14269e-07,8.97498e-07,4.89362e-07
0.62,-1.27935e-06,-2.78292e-07,7.5824e-07,5.11642e-07
0.63,-1.27867e-06,-2.56628e-07,7.13422e-07,5.34281e-07
0.64,-1.21065e-06,-2.65743e-07,6.95396e-07,5.20765e-07
0.65,-1.22974e-06,-1.98052e-07,6.06706e-07,5.08077e-07
0.66,-1.20591e-06,-2.3395e-07,6.51119e-07,5.04134e-07
0.67,-1.13413e-06,-3.14848e-07,5.22305e-07,5.16003e-07
0.68,-1.11443e-06,-2.36322e-07,5.31733e-07,5.39731e-07
0.69,-1.1813e-06,-2.32664e-07,5.50913e-07,5.18888e-07
0.7,-1.21817e-06,-2.10188e-07,6.85079e-07,5.20485e-07
0.71,-1.18567e-06,-9.71995e-08,6.08855e-07,5.04047e-07
