t,x,y,z,v
0,-4.64542e-08,-2.35967e-08,1.82126e-09,9.57844e-07
0.01,-1.02911e-07,1.19349e-08,3.70494e-10,9.69007e-07
0.02,-1.3613e-08,1.06044e-07,-1.71927e-07,9.70146e-07
0.03,-1.67048e-08,1.59458e-07,-1.58319e-07,9.75716e-07
0.04,-3.70935e-08,1.76005e-07,-2.10267e-07,9.72933e-07
0.05,-1.72799e-08,2.59664e-07,-1.44404e-07,9.71624e-07
0.06,-8.36133e-09,2.82673e-07,-6.35393e-08,9.76796e-07
0.07,5.19412e-08,1.11064e-07,-2.57076e-08,9.73715e-07
0.08,-6.4021e-08,1.67285e-07,-3.44099e-09,9.66209e-07
0.09,2.41998e-08,2.47771e-07,-2.18012e-08,9.61161e-07
0.1,-5.84107e-08,4.00162e-07,-1.11515e-07,9.70527e-07
0.11,-1.57314e-07,4.40941e-07,-1.20164e-07,9.64426e-07
0.12,-1.60998e-07,5.19894e-07,-5.54369e-08,9.5817e-07
0.13,-2.34197e-07,4.59787e-07,-6.75383e-08,9.69103e-07
0.14,-2.20371e-07,4.42269e-07,-5.06543e-08,9.51774e-07
0.15,-1.84057e-07,4.17554e-07,1.75842e-08,9.5283e-07
0.16,-2.57833e-07,3.99925e-07,-5.67656e-08,9.5743e-07
0.17,-1.9798e-07,3.77501e-07,2.1643e-08,9.64499e-07
0.18,-1.86892e-07,2.61207e-07,-9.67846e-08,9.6246e-07
0.19,-2.70514e-07,4.57747e-07,-7.00746e-08,9.5529e-07
0.2,-2.32657e-07,3.92753e-07,-7.01994e-08,9.64631e-07
0.21,-1.80964e-07,4.23564e-07,-1.25051e-07,9.65486e-07
0.22,-2.52187e-07,4.00959e-07,-5.60308e-08,9.57991e-07
0.23,-3.1331e-07,4.15059e-07,-3.47321e-08,9.61428e-07
0.24,-3.45831e-07,5.49625e-07,-1.45497e-07,9.70108e-07
0.25,-2.17002e-07,5.68084e-07,-1.93192e-07,9.7772e-07
0.26,-2.31202e-07,5.82873e-07,-9.94553e-08,9.57356e-07
0.27,-7.85445e-08,6.36751e-07,-1.7725e-07,9.564e-07
0.28,-9.24987e-08,6.37245e-07,-1.11078e-07,9.66244e-07
0.29,-6.16056e-08,6.91604e-07,-7.75106e-08,9.67695e-07
0.3,-7.76265e-08,7.75978e-07,-2.16682e-07,9.7061e-07
0.31,-7.66758e-09,7.79143e-07,-2.48941e-07,9.63072e-07
0.32,-3.89843e-08,7.11646e-07,-3.25847e-07,9.76831e-07
0.33,-1.10134e-07,7.34421e-07,-2.91991e-07,9.62796e-07
0.34,-1.90515e-07,8.04564e-07,-3.03224e-07,9.68096e-07
0.35,-9.69946e-08,8.55137e-07,-3.10514e-07,9.6191e-07
0.36,-4.16147e-08,8.28522e-07,-3.13378e-07,9.49865e-07
0.37,-5.17839e-09,8.29683e-07,-2.9872e-07,9.57236e-07
0.38,7.41988e-08,7.59289e-07,-3.99858e-07,9.78236e-07
0.39,6.77561e-08,6.74121e-07,-3.95552e-07,9.64686e-07
0.4,3.95075e-08,5.53201e-07,-5.63557e-07,9.66326e-07
0.41,4.18488e-08,4.72103e-07,-5.70495e-07,9.67734e-07
0.42,1.62935e-07,4.99044e-07,-4.66671e-07,9.69729e-07
0.43,2.02786e-07,5.08881e-07,-5.65914e-07,9.61865e-07
0.44,2.03482e-07,6.45913e-07,-5.33303e-07,9.59089e-07
0.45,1.50711e-07,6.24268e-07,-5.19831e-07,9.60609e-07
0.46,6.59156e-08,7.45553e-07,-4.64129e-07,9.62639e-07
0.47,-5.79107e-09,7.83582e-07,-3.98307e-07,9.64294e-07
0.48,1.5504e-08,7.66629e-07,-3.72773e-07,9.75662e-07
0.49,1.6459e-07,9.14717e-07,-4.09527e-07,9.72205e-07
0.5,1.89689e-07,9.03946e-07,-3.85568e-07,9.49087e-07
0.51,3.0238e-07,1.02327e-06,-4.6026e-07,9.50615e-07
0.52,3.18317e-07,8.93897e-07,-4.7772e-07,9.54512e-07
0.53,2.68367e-07,9.52042e-07,-4.9099e-07,9.77281e-07
0.54,2.24444e-07,9.66004e-07,-5.30089e-07,9.64886e-07
0.55,1.5188e-07,1.01983e-06,-4.54396e-07,9.61855e-07
0.56,1.81077e-07,1.04627e-06,-4.25106e-07,9.63991e-07
0.57,1.00573e-07,1.06378e-06,-4.67622e-07,9.5802e-07
0.58,9.57032e-08,1.09591e-06,-4.74551e-07,9.62647e-07
0.59,1.05955e-07,1.15587e-06,-4.70169e-07,9.56708e-07
0.6,1.75764e-07,1.26058e-06,-4.68105e-07,9.5476e-07
0.61,1.00344e-07,1.29377e-06,-5.29307e-07,9.55845e-07
0.62,1.1108e-07,1.22157e-06,-6.08376e-07,9.66687e-07
0.63,1.13035e-07,1.2478e-06,-5.79141e-07,9.57505e-07
0.64,5.31436e-08,1.29859e-06,-6.41931e-07,9.61098e-07
0.65,-2.13358e-08,1.17537e-06,-5.34604e-07,9.64033e-07
0.66,-5.81251e-08,1.15332e-06,-4.81954e-07,9.72684e-07
0.67,2.26432e-08,1.09432e-06,-4.44698e-07,9.65371e-07
0.68,1.17695e-07,1.11452e-06,-3.7339e-07,9.71563e-07
0.69,6.10351e-08,1.15218e-06,-4.22499e-07,9.49466e-07
0.7,1.21525e-07,1.08771e-06,-4.01891e-07,9.67787e-07
0.71,-2.75879e-08,1.17976e-06,-4.06403e-07,9.59383e-07
0.72,1.50854e-08,1.23778e-06,-4.82812e-07,9.69927e-07
0.73,-3.92554e-08,1.20374e-06,-4.44219e-07,9.73509e-07
0.74,2.71255e-08,1.21299e-06,-4.04106e-07,9.70763e-07
0.75,6.51822e-08,1.15721e-06,-5.91453e-07,9.78154e-07
0.76,7.75499e-08,1.15529e-06,-6.24658e-07,9.63167e-07
0.77,5.02284e-08,1.15969e-06,-5.89466e-07,9.5871e-07
0.78,1.1498e-07,1.07894e-06,-6.6515e-07,9.68791e-07
0.79,2.07931e-07,1.14288e-06,-5.57797e-07,9.6234e-07
0.8,1.62643e-07,1.29741e-06,-5.48027e-07,9.55452e-07
0.81,4.62353e-08,1.34972e-06,-5.18271e-07,9.6404e-07
0.82,8.07641e-08,1.49004e-06,-6.39135e-07,9.69467e-07
0.83,1.34949e-07,1.37973e-06,-6.04167e-07,9.57894e-07
0.84,1.35608e-07,1.36963e-06,-6.08496e-07,9.61119e-07
0.85,1.18388e-07,1.34069e-06,-5.84651e-07,9.65194e-07
0.86,2.40513e-07,1.40687e-06,-5.26844e-07,9.655e-07
0.87,3.50075e-07,1.31165e-06,-5.90226e-07,9.60582e-07
0.88,3.48767e-07,1.31112e-06,-6.106e-07,9.65685e-07
0.89,4.12397e-07,1.35457e-06,-6.97042e-07,9.66295e-07
0.9,3.2568e-07,1.44847e-06,-7.05987e-07,9.62743e-07
0.91,2.78724e-07,1.47814e-06,-7.92451e-07,9.70254e-07
0.92,3.75273e-07,1.56129e-06,-8.12787e-07,9.66985e-07
0.93,3.73665e-07,1.5237e-06,-8.01062e-07,9.694e-07
0.94,3.81807e-07,1.48253e-06,-8.70221e-07,9.68001e-07
0.95,4.56972e-07,1.52607e-06,-8.06696e-07,9.66745e-07
0.96,4.77738e-07,1.32313e-06,-8.41796e-07,9.5599e-07
0.97,4.64159e-07,1.33123e-06,-8.30402e-07,9.5997e-07
0.98,5.81818e-07,1.30568e-06,-8.74456e-07,9.58159e-07
0.99,5.6122e-07,1.4366e-06,-9.4449e-07,9.67609e-07
1,6.12783e-07,1.30726e-06,-9.60175e-07,9.56954e-07
1.01,6.81463e-07,1.32757e-06,-9.50537e-07,9.66753e-07
1.02,8.16794e-07,1.34659e-06,-8.66979e-07,9.60904e-07
1.03,8.2828e-07,1.2458e-06,-8.73034e-07,9.67032e-07
1.04,9.0293e-07,1.33778e-06,-9.65447e-07,9.57413e-07
1.05,9.57841e-07,1.28004e-06,-1.08415e-06,9.67353e-07
1.06,8.80482e-07,1.22139e-06,-1.08884e-06,9.66809e-07
1.07,8.5886e-07,1.26543e-06,-1.12832e-06,9.53287e-07
1.08,8.06265e-07,1.23971e-06,-1.19983e-06,9.55981e-07
1.09,7.82267e-07,1.25937e-06,-1.18211e-06,9.58134e-07
1.1,6.91891e-07,1.33062e-06,-1.17972e-06,9.60818e-07
1.11,6.9881e-07,1.35375e-06,-1.228e-06,9.70711e-07
1.12,6.79959e-07,1.42164e-06,-1.20281e-06,9.66968e-07
1.13,7.29891e-07,1.35905e-06,-1.35543e-06,9.75813e-07
1.14,7.5675e-07,1.35198e-06,-1.29481e-06,9.60278e-07
1.15,6.93234e-07,1.42188e-06,-1.37478e-06,9.6166e-07
1.16,6.67524e-07,1.49948e-06,-1.31537e-06,9.69096e-07
1.17,7.19951e-07,1.49406e-06,-1.35903e-06,9.77744e-07
1.18,6.38741e-07,1.43172e-06,-1.41599e-06,9.69679e-07
1.19,6.50769e-07,1.41232e-06,-1.50297e-06,9.70647e-07
1.2,6.18926e-07,1.43516e-06,-1.48438e-06,9.75916e-07
1.21,6.21417e-07,1.41912e-06,-1.50168e-06,9.69245e-07
1.22,5.42158e-07,1.35974e-06,-1.49819e-06,9.68688e-07
1.23,4.78497e-07,1.35404e-06,-1.45792e-06,9.58513e-07
1.24,4.31101e-07,1.26784e-06,-1.53581e-06,9.62898e-07
1.25,3.71806e-07,1.30182e-06,-1.64632e-06,9.64625e-07
1.26,3.82954e-07,1.22596e-06,-1.66811e-06,9.61868e-07
1.27,4.96277e-07,1.17804e-06,-1.67067e-06,9.6343e-07
1.28,5.43788e-07,1.17472e-06,-1.55646e-06,9.69326e-07
1.29,5.00916e-07,1.2579e-06,-1.4971e-06,9.61081e-07
1.3,4.60188e-07,1.20317e-06,-1.44141e-06,9.5475e-07
1.31,3.8678e-07,1.11912e-06,-1.43177e-06,9.55227e-07
1.32,4.10288e-07,1.07415e-06,-1.44096e-06,9.70676e-07
1.33,4.44399e-07,1.03797e-06,-1.35742e-06,9.63406e-07
1.34,5.28723e-07,9.87698e-07,-1.41139e-06,9.63693e-07
1.35,5.23191e-07,9.32188e-07,-1.44363e-06,9.64012e-07
1.36,5.13419e-07,8.86185e-07,-1.38249e-06,9.53866e-07
1.37,4.6449e-07,8.08838e-07,-1.44615e-06,9.47237e-07
1.38,4.28806e-07,8.73076e-07,-1.46466e-06,9.55384e-07
1.39,4.1763e-07,9.21067e-07,-1.41756e-06,9.53701e-07
