t,x,y,z,v
0,-2.26962e-10,-9.92121e-08,7.42886e-08,4.35032e-07
0.01,5.3015e-08,-6.99741e-08,9.73684e-08,4.4678e-07
0.02,-5.43978e-08,-7.62361e-08,-4.47681e-08,4.3695e-07
0.03,-5.28266e-08,-8.75136e-08,-4.51923e-08,4.35947e-07
0.04,-5.08213e-08,1.40646e-08,-5.68072e-08,4.34009e-07
0.05,-8.64442e-08,-2.25155e-09,-2.31767e-08,4.40199e-07
0.06,-3.98323e-08,5.49847e-08,2.22874e-08,4.38609e-07
0.07,-1.7574e-08,6.55663e-08,3.51826e-08,4.39046e-07
0.08,4.68046e-08,-6.86923e-08,1.93487e-08,4.37643e-07
0.09,-6.01465e-08,-1.94177e-08,3.45993e-08,4.35546e-07
0.1,-1.13611e-07,-2.00517e-08,6.0771e-08,4.35546e-07
0.11,-1.12901e-07,-5.2013e-08,9.79946e-08,4.39078e-07
0.12,-1.9441e-07,-1.14903e-07,5.60388e-08,4.35812e-07
0.13,-1.2807e-07,-2.48662e-07,5.50444e-08,4.33138e-07
0.14,-1.4494e-07,-1.94302e-07,-4.43161e-08,4.32768e-07
0.15,-4.14089e-08,-2.16823e-07,2.53984e-08,4.37924e-07
0.16,-1.3606e-07,-2.00113e-07,-3.30996e-08,4.35323e-07
0.17,-1.03797e-07,-5.9149e-08,-4.31652e-08,4.31986e-07
0.18,-9.06006e-08,-8.03094e-08,-5.19876e-08,4.41847e-07
0.19,-1.8944e-07,-1.16845e-07,4.3918e-09,4.42251e-07
0.2,-1.64954e-07,-2.67243e-07,1.43529e-08,4.36216e-07
0.21,-1.38433e-07,-1.68188e-07,2.95982e-08,4.36124e-07
0.22,-1.71157e-07,-2.02269e-07,1.93383e-08,4.34268e-07
0.23,-1.72944e-07,-1.97794e-07,3.91002e-08,4.33485e-07
0.24,-1.85409e-07,-1.8022e-07,-5.1246e-08,4.38995e-07
0.25,-1.41928e-07,-1.56123e-07,-1.05852e-07,4.34843e-07
0.26,-9.48327e-08,-4.96361e-08,-1.60702e-07,4.36847e-07
0.27,-4.70394e-08,-4.19206e-08,-2.46596e-07,4.39523e-07
0.28,-8.13478e-08,-6.37446e-08,-2.23266e-07,4.4006e-07
0.29,-9.61859e-08,-8.79334e-08,-1.2409e-07,4.35846e-07
0.3,-1.51302e-07,-1.31366e-07,-1.25574e-07,4.34946e-07
0.31,-2.15368e-07,-1.3872e-07,-7.88586e-08,4.33546e-07
0.32,-2.95992e-07,-2.2643e-07,-1.08841e-07,4.32913e-07
0.33,-2.6489e-07,-1.75695e-07,-1.11683e-08,4.40407e-07
0.34,-2.06891e-07,-2.23115e-07,9.68293e-08,4.36995e-07
0.35,-2.13619e-07,-2.3689e-07,1.65033e-07,4.39772e-07
0.36,-2.40008e-07,-2.31943e-07,2.49092e-07,4.32186e-07
0.37,-2.49774e-07,-2.68554e-07,2.93434e-07,4.35581e-07
0.38,-2.65364e-07,-2.98431e-07,2.15307e-07,4.37574e-07
0.39,-3.03358e-07,-3.72202e-07,1.08087e-07,4.34822e-07
0.4,-3.31535e-07,-4.57503e-07,1.02981e-07,4.38104e-07
0.41,-4.09227e-07,-5.32846e-07,1.53098e-07,4.39948e-07
0.42,-4.32349e-07,-5.45902e-07,1.24271e-07,4.30508e-07
0.43,-3.83264e-07,-4.81312e-07,1.17536e-07,4.33518e-07
0.44,-3.54953e-07,-4.18112e-07,1.04357e-07,4.36003e-07
0.45,-3.98386e-07,-4.11119e-07,1.11553e-07,4.35168e-07
0.46,-4.72222e-07,-4.8215e-07,1.40733e-07,4.36379e-07
0.47,-3.37401e-07,-4.01886e-07,1.66936e-07,4.35976e-07
0.48,-2.9067e-07,-3.50244e-07,2.38376e-07,4.41732e-07
0.49,-3.04495e-07,-3.42604e-07,2.37316e-07,4.37134e-07
0.5,-3.72472e-07,-4.26005e-07,2.20659e-07,4.38037e-07
0.51,-4.93143e-07,-4.97757e-07,1.82866e-07,4.37515e-07
0.52,-5.85209e-07,-4.01815e-07,1.97679e-07,4.327e-07
0.53,-6.4792e-07,-4.34248e-07,1.62055e-07,4.29736e-07
0.54,-6.22192e-07,-5.5164e-07,-5.61779e-09,4.31622e-07
0.55,-5.78448e-07,-5.77863e-07,6.73774e-08,4.3057e-07
0.56,-6.57941e-07,-5.68179e-07,1.40889e-07,4.27864e-07
0.57,-5.87782e-07,-5.75058e-07,1.81968e-07,4.38224e-07
0.58,-6.45941e-07,-5.42851e-07,1.5212e-07,4.25903e-07
0.59,-6.19728e-07,-5.32549e-07,2.87071e-07,4.29035e-07
0.6,-4.94205e-07,-5.25937e-07,1.61498e-07,4.32447e-07
0.61,-5.38508e-07,-5.18539e-07,2.6077e-07,4.27764e-07
0.62,-6.22241e-07,-4.34698e-07,2.78139e-07,4.28889e-07
0.63,-6.08942e-07,-4.91175e-07,2.56754e-07,4.29527e-07
0.64,-5.93052e-07,-5.61261e-07,1.37834e-07,4.30519e-07
0.65,-6.02267e-07,-5.66047e-07,1.11055e-07,4.31335e-07
0.66,-5.37326e-07,-5.96734e-07,2.16995e-07,4.31017e-07
0.67,-5.30522e-07,-6.6313e-07,2.68103e-07,4.30753e-07
0.68,-4.95942e-07,-6.97768e-07,2.72496e-07,4.33894e-07
0.69,-5.30357e-07,-7.04575e-07,3.56223e-07,4.29614e-07
0.7,-4.07099e-07,-7.42581e-07,3.51384e-07,4.35727e-07
0.71,-4.16729e-07,-7.23868e-07,3.12142e-07,4.36613e-07
0.72,-4.18323e-07,-6.67137e-07,4.55137e-07,4.36645e-07
0.73,-4.43537e-07,-7.18122e-07,3.37902e-07,4.35114e-07
0.74,-3.69648e-07,-6.93511e-07,3.08997e-07,4.32551e-07
0.75,-4.28948e-07,-6.41563e-07,3.34757e-07,4.32694e-07
0.76,-4.37975e-07,-5.7128e-07,3.43631e-07,4.35197e-07
0.77,-4.83796e-07,-5.27167e-07,3.2026e-07,4.31736e-07
0.78,-3.63147e-07,-5.25496e-07,2.48369e-07,4.27902e-07
0.79,-3.20709e-07,-4.31669e-07,3.54161e-07,4.35891e-07
0.8,-2.07793e-07,-5.19345e-07,4.22202e-07,4.44252e-07
0.81,-1.78313e-07,-5.1265e-07,4.023e-07,4.22749e-07
0.82,-2.00633e-07,-5.3224e-07,4.58444e-07,4.3725e-07
0.83,-1.54868e-07,-5.63488e-07,4.9647e-07,4.36239e-07
0.84,-1.90753e-07,-5.22956e-07,5.05384e-07,4.33253e-07
0.85,-1.63165e-07,-5.52787e-07,5.22312e-07,4.30224e-07
0.86,-1.75468e-07,-6.80707e-07,5.96568e-07,4.33686e-07
0.87,-1.3318e-07,-7.29603e-07,5.82016e-07,4.38906e-07
0.88,-1.9685e-07,-7.10467e-07,5.43988e-07,4.3864e-07
0.89,-2.89626e-07,-7.39579e-07,3.85285e-07,4.34954e-07
0.9,-2.26168e-07,-7.70874e-07,3.24031e-07,4.33374e-07
0.91,-1.98979e-07,-9.18094e-07,2.7155e-07,4.41824e-07
0.92,-1.96914e-07,-8.64368e-07,1.93855e-07,4.33434e-07
0.93,-3.86695e-08,-8.45335e-07,1.18461e-07,4.30702e-07
0.94,-9.48401e-08,-8.05355e-07,1.40189e-07,4.39769e-07
0.95,-8.81025e-08,-7.30112e-07,2.33721e-07,4.36111e-07
0.96,-1.76554e-07,-8.29728e-07,3.33917e-07,4.41428e-07
0.97,-1.3384e-07,-7.88253e-07,4.04392e-07,4.40442e-07
0.98,-1.49112e-07,-7.59671e-07,4.1299e-07,4.3158e-07
0.99,-1.48091e-07,-8.66451e-07,4.0591e-07,4.29005e-07
1,-1.83775e-07,-7.47964e-07,4.92113e-07,4.33538e-07
1.01,-2.20381e-07,-7.04259e-07,5.48258e-07,4.42018e-07
1.02,-2.2272e-07,-7.3417e-07,6.00057e-07,4.33071e-07
1.03,-2.79619e-07,-7.67555e-07,5.6802e-07,4.33674e-07
1.04,-2.25013e-07,-8.49798e-07,6.52717e-07,4.36862e-07
1.05,-2.49915e-07,-1.04e-06,6.18593e-07,4.30479e-07
1.06,-2.90615e-07,-1.07503e-06,5.13131e-07,4.33233e-07
